Age,Gender,MaritalStatus,Occupation,IncomeLevel,Education,Location,FamilySize,DrivingScore,ClaimHistory,VehicleType,VehicleAge,AnnualMileage,PreviousPolicy,RiskAppetite,CoverageAmount,PremiumBudget,TenurePreference,AddonsInterested,RecommendedProduct
20,Male,Married,Retired,Medium,High School,Rural,3,62,No,Commercial,15,34487,Own Damage,High,1000000,5000,1,Roadside Assistance,Third-Party
48,Male,Married,Student,High,Graduate,Metro,5,54,No,Commercial,14,30230,Comprehensive,High,500000,15000,1,Zero Depreciation,Third-Party
42,Male,Single,Retired,Medium,High School,Rural,3,41,Yes,SUV,16,39954,Comprehensive,High,200000,10000,3,None,Third-Party
64,Male,Married,Student,Medium,Postgraduate,Metro,3,77,No,SUV,16,11500,Comprehensive,High,500000,5000,1,NCB Protection,Third-Party
54,Female,Married,Self-Employed,High,Doctorate,Metro,4,64,No,Car,15,12036,Own Damage,Low,100000,30000,1,None,Third-Party
40,Male,Single,Student,Low,Graduate,Metro,4,83,No,SUV,11,36502,Own Damage,High,500000,20000,3,Roadside Assistance,Third-Party
66,Male,Married,Salaried,High,Postgraduate,Metro,4,47,Yes,Bike,10,8325,Third-Party,Medium,500000,20000,3,None,Third-Party
39,Male,Married,Self-Employed,Low,High School,Urban,1,99,No,Car,7,39795,Comprehensive,Low,100000,30000,5,None,Third-Party
46,Female,Single,Self-Employed,Low,High School,Urban,5,50,No,Commercial,7,20996,Comprehensive,High,200000,30000,1,NCB Protection,Own Damage + Add-ons
53,Male,Married,Salaried,Medium,Doctorate,Rural,5,68,Yes,Car,11,25105,Own Damage,Low,100000,15000,5,Zero Depreciation,Third-Party
68,Male,Single,Student,High,Graduate,Rural,4,99,No,Bike,18,20247,Own Damage,High,300000,5000,3,Engine Protection,Third-Party
30,Female,Married,Self-Employed,Low,High School,Urban,4,44,No,Bike,18,7774,Third-Party,High,200000,25000,1,NCB Protection,Third-Party
20,Male,Married,Self-Employed,Medium,Postgraduate,Urban,3,76,Yes,Commercial,17,11154,Own Damage,Low,500000,30000,5,Roadside Assistance,Third-Party
63,Female,Married,Self-Employed,Low,Graduate,Metro,3,59,No,SUV,0,46549,Third-Party,Low,100000,5000,3,NCB Protection,Own Damage + Add-ons
39,Male,Single,Retired,Low,Doctorate,Metro,3,51,Yes,Bike,14,10865,Third-Party,Medium,100000,15000,1,Zero Depreciation,Third-Party
66,Male,Single,Salaried,Low,Postgraduate,Metro,1,55,No,SUV,15,43709,Comprehensive,Low,200000,30000,3,Roadside Assistance,Third-Party
53,Female,Married,Salaried,Medium,Doctorate,Metro,4,60,Yes,Commercial,16,30264,Comprehensive,High,100000,25000,5,Engine Protection,Third-Party
27,Male,Married,Self-Employed,Low,Postgraduate,Rural,4,76,No,SUV,7,41756,Own Damage,High,300000,15000,3,Engine Protection,Own Damage + Add-ons
26,Female,Married,Self-Employed,Medium,Graduate,Metro,4,97,Yes,SUV,9,22886,Third-Party,Medium,1000000,10000,5,None,Own Damage + Add-ons
36,Male,Single,Salaried,Medium,Postgraduate,Rural,3,94,Yes,Car,5,12308,Third-Party,Low,500000,20000,3,None,Third-Party
25,Female,Single,Student,Low,Graduate,Urban,1,89,No,SUV,1,42458,Third-Party,Low,300000,30000,1,Roadside Assistance,Comprehensive
50,Female,Married,Self-Employed,Low,Graduate,Urban,2,60,No,SUV,1,14777,Third-Party,Medium,100000,15000,5,Engine Protection,Own Damage + Add-ons
37,Male,Married,Retired,Medium,Postgraduate,Metro,2,67,No,Car,17,24395,Comprehensive,Low,1000000,5000,3,Zero Depreciation,Third-Party
47,Female,Single,Salaried,Low,Postgraduate,Metro,3,73,Yes,SUV,11,18254,Own Damage,Low,500000,5000,1,Roadside Assistance,Third-Party
52,Female,Married,Student,High,Graduate,Rural,3,92,No,Car,7,11161,Third-Party,Low,300000,15000,3,None,Third-Party
48,Male,Single,Student,Low,High School,Rural,4,47,No,Car,0,40046,Own Damage,Low,200000,20000,1,None,Third-Party
36,Male,Single,Salaried,Low,High School,Metro,5,85,Yes,SUV,12,29152,Own Damage,High,500000,15000,5,None,Third-Party
67,Male,Single,Retired,High,Postgraduate,Urban,3,70,No,SUV,9,13651,Comprehensive,Low,200000,15000,1,NCB Protection,Own Damage + Add-ons
63,Female,Single,Self-Employed,Medium,High School,Metro,3,60,No,SUV,3,38590,Own Damage,Medium,500000,5000,3,Engine Protection,Own Damage + Add-ons
31,Female,Married,Salaried,Medium,High School,Urban,2,42,Yes,Car,8,16527,Comprehensive,Medium,100000,5000,3,NCB Protection,Third-Party
27,Female,Single,Retired,Medium,Graduate,Urban,3,98,No,Bike,6,44788,Third-Party,Medium,300000,5000,3,Roadside Assistance,Third-Party
20,Male,Single,Salaried,Medium,Graduate,Metro,5,86,Yes,Car,18,11143,Own Damage,Low,500000,30000,5,NCB Protection,Third-Party
51,Male,Single,Student,High,High School,Metro,4,60,No,Bike,9,26733,Third-Party,High,200000,20000,3,Engine Protection,Third-Party
68,Female,Single,Self-Employed,Medium,Doctorate,Urban,5,68,No,Commercial,2,29990,Third-Party,Medium,500000,5000,1,Roadside Assistance,Own Damage + Add-ons
45,Female,Married,Student,High,Postgraduate,Rural,1,71,No,Bike,17,35051,Comprehensive,Medium,500000,25000,3,Engine Protection,Third-Party
36,Female,Married,Salaried,High,Doctorate,Rural,3,97,No,Commercial,7,10551,Comprehensive,High,500000,25000,3,Engine Protection,Own Damage + Add-ons
56,Female,Single,Retired,Low,Doctorate,Rural,3,88,No,SUV,0,18648,Third-Party,Medium,100000,15000,1,Zero Depreciation,Comprehensive
43,Female,Single,Salaried,Medium,Doctorate,Urban,5,65,No,Car,17,45905,Third-Party,Low,300000,15000,3,Zero Depreciation,Third-Party
21,Male,Single,Self-Employed,Medium,High School,Urban,1,52,No,Car,6,11073,Own Damage,Medium,1000000,10000,3,Zero Depreciation,Third-Party
29,Male,Single,Salaried,Low,Graduate,Rural,4,54,Yes,Commercial,14,34996,Third-Party,Low,500000,25000,1,None,Third-Party
43,Male,Married,Salaried,Low,High School,Metro,5,41,No,Car,8,5514,Own Damage,High,500000,20000,5,NCB Protection,Third-Party
24,Male,Married,Student,Medium,Doctorate,Metro,2,88,No,Car,8,33364,Third-Party,High,100000,15000,5,Zero Depreciation,Third-Party
20,Male,Married,Self-Employed,High,High School,Metro,1,72,No,Commercial,4,30505,Own Damage,Medium,200000,15000,1,Roadside Assistance,Own Damage + Add-ons
43,Male,Single,Salaried,Medium,Postgraduate,Urban,4,70,Yes,Bike,12,31548,Comprehensive,Low,1000000,20000,5,None,Third-Party
19,Male,Single,Self-Employed,Low,Doctorate,Urban,1,40,No,SUV,12,26526,Comprehensive,High,1000000,25000,1,Zero Depreciation,Third-Party
29,Male,Married,Self-Employed,Medium,High School,Metro,2,54,No,Bike,2,30520,Own Damage,Medium,1000000,10000,1,NCB Protection,Third-Party
49,Female,Married,Retired,Medium,Graduate,Urban,1,93,No,Bike,18,28003,Own Damage,Medium,100000,20000,5,None,Third-Party
68,Male,Married,Retired,Medium,Doctorate,Metro,5,78,No,Commercial,11,33318,Own Damage,Medium,1000000,10000,5,None,Third-Party
55,Male,Single,Student,High,Graduate,Rural,5,92,Yes,Commercial,16,38556,Third-Party,High,200000,10000,3,Roadside Assistance,Third-Party
28,Male,Married,Student,High,Postgraduate,Rural,1,54,No,Commercial,3,34879,Third-Party,Low,300000,30000,3,Engine Protection,Own Damage + Add-ons
49,Female,Single,Retired,Low,Postgraduate,Metro,3,59,Yes,Commercial,18,17682,Comprehensive,Low,1000000,15000,1,Roadside Assistance,Third-Party
62,Female,Single,Salaried,High,High School,Urban,1,91,No,Bike,6,47626,Own Damage,Low,500000,25000,3,NCB Protection,Third-Party
32,Female,Single,Salaried,High,High School,Rural,5,46,No,Commercial,5,34507,Comprehensive,Medium,200000,10000,3,NCB Protection,Own Damage + Add-ons
23,Male,Single,Self-Employed,Low,Postgraduate,Metro,4,75,Yes,Car,13,28516,Own Damage,Low,200000,20000,3,NCB Protection,Third-Party
43,Male,Married,Student,High,Doctorate,Rural,1,82,No,Bike,12,19600,Own Damage,High,1000000,25000,3,None,Third-Party
25,Male,Single,Retired,Low,Doctorate,Urban,2,51,Yes,Commercial,18,22864,Comprehensive,Medium,500000,5000,3,NCB Protection,Third-Party
25,Female,Married,Salaried,Low,Doctorate,Rural,2,52,No,Car,5,33994,Own Damage,High,200000,5000,3,Roadside Assistance,Third-Party
55,Male,Single,Retired,High,Postgraduate,Rural,4,44,No,Car,9,36440,Own Damage,High,100000,30000,1,None,Third-Party
25,Female,Married,Self-Employed,Medium,Graduate,Metro,4,82,Yes,Commercial,2,11665,Own Damage,High,1000000,20000,5,Roadside Assistance,Comprehensive
34,Male,Married,Retired,High,Graduate,Rural,4,45,No,Commercial,8,8568,Comprehensive,Low,500000,5000,1,Zero Depreciation,Own Damage + Add-ons
56,Male,Married,Self-Employed,Medium,Doctorate,Rural,4,44,Yes,Car,2,29598,Own Damage,Medium,300000,25000,5,Zero Depreciation,Third-Party
36,Male,Married,Student,High,High School,Urban,1,84,Yes,Car,16,25497,Comprehensive,Medium,200000,25000,1,Zero Depreciation,Third-Party
20,Female,Married,Salaried,High,High School,Urban,4,78,No,Bike,18,44869,Third-Party,High,300000,15000,5,Roadside Assistance,Third-Party
58,Male,Married,Salaried,High,Postgraduate,Rural,4,82,No,Bike,13,45068,Comprehensive,Medium,500000,25000,3,Engine Protection,Third-Party
66,Male,Married,Salaried,Medium,High School,Rural,3,86,No,Car,4,30839,Own Damage,Medium,100000,10000,5,Roadside Assistance,Comprehensive
26,Female,Married,Student,Medium,Postgraduate,Metro,2,45,No,Commercial,7,44257,Comprehensive,Low,500000,30000,1,Zero Depreciation,Own Damage + Add-ons
63,Male,Single,Self-Employed,Low,Postgraduate,Rural,1,93,Yes,Commercial,14,44632,Comprehensive,Medium,300000,15000,1,Engine Protection,Third-Party
50,Female,Married,Salaried,Medium,High School,Metro,5,45,Yes,SUV,16,16089,Comprehensive,High,500000,10000,1,None,Third-Party
49,Female,Married,Student,Medium,High School,Urban,3,50,Yes,Car,3,35927,Third-Party,Medium,500000,25000,3,NCB Protection,Third-Party
49,Male,Married,Salaried,Medium,Doctorate,Urban,3,66,No,Commercial,9,30170,Own Damage,High,200000,15000,1,Engine Protection,Own Damage + Add-ons
23,Female,Married,Salaried,High,Doctorate,Rural,5,55,Yes,Bike,15,8028,Third-Party,Medium,500000,20000,3,Zero Depreciation,Third-Party
66,Female,Married,Student,Medium,High School,Metro,3,84,Yes,Car,7,28169,Third-Party,High,100000,20000,3,Engine Protection,Third-Party
66,Female,Single,Salaried,High,Doctorate,Metro,1,42,Yes,Bike,10,42528,Third-Party,High,200000,20000,3,NCB Protection,Third-Party
46,Female,Single,Salaried,High,Doctorate,Rural,2,61,No,Commercial,19,7582,Third-Party,Medium,100000,30000,1,None,Third-Party
54,Male,Married,Retired,High,Graduate,Metro,4,71,No,Bike,18,38471,Own Damage,High,300000,15000,5,Roadside Assistance,Third-Party
34,Female,Married,Retired,High,Doctorate,Rural,3,64,Yes,Commercial,0,41811,Comprehensive,Low,500000,25000,3,Engine Protection,Own Damage + Add-ons
67,Male,Married,Self-Employed,Medium,Doctorate,Urban,1,57,No,SUV,9,47058,Third-Party,Low,1000000,25000,1,Zero Depreciation,Own Damage + Add-ons
36,Male,Single,Student,High,Doctorate,Rural,3,58,No,Bike,11,43531,Own Damage,High,500000,30000,5,NCB Protection,Third-Party
48,Female,Married,Retired,Medium,Graduate,Urban,1,87,No,Commercial,1,41681,Third-Party,High,1000000,30000,5,Engine Protection,Comprehensive
36,Male,Single,Retired,Low,Doctorate,Urban,3,69,No,Car,6,37268,Comprehensive,High,200000,15000,1,Engine Protection,Third-Party
40,Female,Single,Salaried,Low,Graduate,Urban,1,74,Yes,Bike,18,27940,Third-Party,Medium,300000,15000,1,Engine Protection,Third-Party
67,Male,Single,Retired,High,Doctorate,Metro,4,90,No,Commercial,5,37916,Own Damage,Low,1000000,5000,3,Zero Depreciation,Own Damage + Add-ons
64,Female,Single,Self-Employed,Low,Postgraduate,Metro,1,85,No,Car,11,12777,Comprehensive,Medium,500000,5000,1,Engine Protection,Third-Party
52,Female,Single,Salaried,Low,Postgraduate,Rural,5,93,Yes,SUV,2,16617,Comprehensive,Medium,500000,30000,1,Engine Protection,Comprehensive
31,Male,Married,Salaried,Low,Doctorate,Metro,3,66,No,SUV,15,8463,Comprehensive,Low,500000,30000,3,None,Third-Party
18,Female,Single,Self-Employed,High,Graduate,Metro,4,57,No,Commercial,15,18276,Own Damage,Medium,300000,15000,1,Zero Depreciation,Third-Party
66,Female,Married,Salaried,Low,High School,Metro,3,52,No,Bike,10,40027,Third-Party,Medium,1000000,20000,3,Engine Protection,Third-Party
50,Female,Single,Self-Employed,High,Postgraduate,Urban,1,83,No,SUV,6,27566,Third-Party,Low,1000000,25000,5,NCB Protection,Own Damage + Add-ons
66,Male,Single,Self-Employed,Medium,High School,Urban,3,96,Yes,Bike,13,38872,Own Damage,High,300000,20000,3,Roadside Assistance,Third-Party
53,Male,Married,Self-Employed,Low,High School,Urban,2,70,No,SUV,9,7470,Own Damage,Medium,100000,10000,5,Roadside Assistance,Own Damage + Add-ons
18,Male,Married,Retired,High,Postgraduate,Urban,1,92,No,Bike,12,45923,Comprehensive,Medium,200000,10000,5,None,Third-Party
37,Female,Single,Salaried,Medium,Postgraduate,Urban,1,42,Yes,Bike,15,19260,Third-Party,Medium,300000,10000,5,Zero Depreciation,Third-Party
39,Female,Married,Student,Low,High School,Metro,3,70,No,Car,6,34509,Third-Party,Low,500000,20000,3,NCB Protection,Third-Party
52,Male,Single,Retired,Low,Graduate,Rural,4,63,No,Bike,17,7246,Third-Party,High,100000,30000,5,Zero Depreciation,Third-Party
20,Male,Single,Student,High,Postgraduate,Metro,5,94,No,Car,14,18740,Third-Party,High,1000000,30000,3,Roadside Assistance,Third-Party
29,Male,Single,Salaried,Low,Doctorate,Rural,4,76,Yes,Commercial,17,43815,Own Damage,Medium,200000,5000,3,NCB Protection,Third-Party
60,Male,Single,Self-Employed,Low,Postgraduate,Urban,5,61,No,Commercial,14,31526,Own Damage,Medium,500000,10000,3,Roadside Assistance,Third-Party
54,Male,Married,Student,High,Doctorate,Rural,2,72,No,Bike,10,8456,Comprehensive,Medium,500000,15000,3,Roadside Assistance,Third-Party
30,Male,Single,Retired,Medium,Postgraduate,Metro,5,84,No,Bike,10,36617,Comprehensive,Low,500000,25000,1,Zero Depreciation,Third-Party
29,Female,Single,Self-Employed,Medium,Doctorate,Metro,4,54,Yes,Bike,18,28861,Own Damage,Medium,300000,30000,3,Engine Protection,Third-Party
19,Male,Married,Student,Low,Doctorate,Metro,5,77,No,SUV,6,24016,Third-Party,Medium,1000000,5000,5,None,Own Damage + Add-ons
37,Female,Single,Salaried,High,Graduate,Urban,5,98,No,SUV,16,48553,Comprehensive,Low,100000,10000,1,NCB Protection,Third-Party
18,Male,Single,Student,Medium,Graduate,Metro,2,81,Yes,Bike,7,8081,Own Damage,High,200000,30000,1,None,Third-Party
58,Male,Single,Retired,Medium,High School,Metro,5,53,No,SUV,19,30422,Third-Party,High,500000,25000,1,NCB Protection,Third-Party
52,Female,Married,Salaried,Medium,Postgraduate,Urban,3,87,Yes,Bike,5,15864,Own Damage,Medium,300000,25000,3,Roadside Assistance,Third-Party
41,Male,Single,Self-Employed,Medium,Postgraduate,Metro,2,99,No,Car,13,26829,Own Damage,High,300000,5000,1,NCB Protection,Third-Party
69,Male,Single,Retired,High,Postgraduate,Urban,2,54,No,Commercial,4,6034,Comprehensive,Low,200000,20000,5,NCB Protection,Own Damage + Add-ons
55,Female,Married,Self-Employed,Medium,Graduate,Metro,3,95,No,Car,0,9066,Own Damage,Low,100000,25000,1,Zero Depreciation,Comprehensive
43,Female,Single,Salaried,Medium,Postgraduate,Urban,2,68,No,Bike,8,26478,Own Damage,Low,300000,30000,1,None,Third-Party
28,Male,Married,Student,Medium,Postgraduate,Urban,2,65,Yes,Car,0,6916,Comprehensive,Low,300000,5000,1,None,Third-Party
69,Female,Single,Retired,Low,High School,Metro,4,61,No,Car,4,19187,Own Damage,Low,1000000,10000,5,NCB Protection,Third-Party
69,Female,Single,Self-Employed,Medium,Graduate,Rural,4,43,Yes,Commercial,19,48367,Comprehensive,High,1000000,5000,3,Engine Protection,Third-Party
60,Male,Single,Salaried,Low,High School,Metro,1,72,No,SUV,4,43145,Own Damage,High,100000,20000,3,Engine Protection,Own Damage + Add-ons
32,Male,Single,Salaried,Medium,Postgraduate,Rural,1,96,No,Commercial,1,26206,Own Damage,High,200000,10000,3,None,Comprehensive
23,Male,Married,Student,High,High School,Metro,2,44,Yes,Car,15,10465,Third-Party,High,500000,20000,5,NCB Protection,Third-Party
57,Female,Single,Retired,High,Postgraduate,Metro,2,67,No,Bike,13,5884,Comprehensive,Medium,300000,25000,1,None,Third-Party
26,Male,Single,Student,High,Postgraduate,Rural,3,88,Yes,SUV,3,12403,Third-Party,Medium,500000,30000,5,Zero Depreciation,Comprehensive
67,Male,Single,Salaried,Low,High School,Urban,3,74,No,Bike,14,43052,Third-Party,Low,500000,5000,3,Roadside Assistance,Third-Party
23,Female,Married,Student,Low,High School,Rural,2,81,Yes,Bike,19,31772,Third-Party,Medium,500000,15000,5,Zero Depreciation,Third-Party
34,Female,Single,Retired,Medium,Doctorate,Rural,5,71,No,Bike,18,36172,Third-Party,Medium,100000,30000,3,Roadside Assistance,Third-Party
40,Female,Married,Salaried,High,Postgraduate,Urban,4,68,No,Car,10,31045,Comprehensive,High,200000,20000,5,NCB Protection,Third-Party
48,Male,Single,Self-Employed,Medium,Doctorate,Metro,5,85,No,Commercial,4,6094,Own Damage,Medium,200000,5000,5,NCB Protection,Comprehensive
33,Male,Single,Salaried,Medium,Graduate,Rural,4,63,No,Car,7,9026,Third-Party,Low,1000000,15000,1,Zero Depreciation,Third-Party
68,Male,Single,Student,High,Doctorate,Rural,2,69,No,SUV,15,17110,Comprehensive,Medium,500000,15000,1,Zero Depreciation,Third-Party
39,Female,Single,Student,Medium,Graduate,Rural,4,48,No,Commercial,1,41419,Own Damage,High,500000,30000,5,Engine Protection,Own Damage + Add-ons
33,Male,Married,Student,Low,Doctorate,Metro,1,87,No,Bike,14,15774,Own Damage,Medium,300000,5000,5,Zero Depreciation,Third-Party
62,Female,Married,Student,Low,Doctorate,Rural,2,93,No,Car,13,46647,Third-Party,Medium,100000,30000,1,None,Third-Party
29,Male,Single,Salaried,High,Doctorate,Metro,2,57,No,Commercial,1,6368,Comprehensive,Medium,500000,10000,1,Roadside Assistance,Own Damage + Add-ons
26,Female,Single,Retired,High,High School,Rural,2,50,No,Commercial,4,26804,Third-Party,Medium,100000,15000,5,Engine Protection,Own Damage + Add-ons
23,Male,Married,Salaried,High,Graduate,Rural,3,61,Yes,Commercial,1,33044,Own Damage,High,1000000,5000,5,None,Own Damage + Add-ons
21,Male,Married,Retired,High,Doctorate,Urban,2,76,No,Bike,1,8841,Own Damage,High,100000,5000,1,None,Third-Party
55,Male,Single,Salaried,Medium,Doctorate,Rural,2,62,Yes,Car,2,39232,Comprehensive,Low,200000,10000,3,Zero Depreciation,Third-Party
34,Male,Married,Salaried,Medium,Graduate,Urban,2,68,Yes,Bike,8,26256,Own Damage,Low,100000,30000,1,Engine Protection,Third-Party
27,Male,Single,Retired,High,Doctorate,Urban,5,96,Yes,Bike,16,21022,Own Damage,High,500000,5000,3,NCB Protection,Third-Party
57,Male,Married,Student,High,Postgraduate,Metro,4,52,No,Bike,15,19988,Comprehensive,Low,500000,20000,3,NCB Protection,Third-Party
52,Male,Married,Retired,Medium,High School,Rural,1,71,No,Car,18,30412,Third-Party,High,500000,20000,5,Zero Depreciation,Third-Party
64,Female,Single,Retired,Medium,High School,Rural,2,97,Yes,Car,4,19864,Comprehensive,Low,500000,10000,3,Roadside Assistance,Comprehensive
38,Female,Married,Self-Employed,Low,High School,Urban,4,83,No,Car,3,21850,Comprehensive,Low,100000,25000,5,Zero Depreciation,Comprehensive
36,Female,Married,Self-Employed,Medium,Doctorate,Urban,1,49,Yes,Car,4,16541,Third-Party,Medium,500000,5000,1,Roadside Assistance,Third-Party
44,Female,Married,Student,High,High School,Metro,4,82,No,SUV,0,7687,Own Damage,High,200000,20000,5,None,Comprehensive
28,Female,Married,Self-Employed,High,Postgraduate,Metro,2,87,No,Bike,16,34041,Comprehensive,Low,300000,20000,5,Engine Protection,Third-Party
23,Male,Married,Salaried,Low,Postgraduate,Urban,4,45,Yes,Car,17,40514,Third-Party,Low,500000,5000,3,NCB Protection,Third-Party
58,Female,Single,Self-Employed,Low,Graduate,Rural,4,60,Yes,Car,18,22508,Comprehensive,Medium,1000000,30000,5,None,Third-Party
60,Female,Single,Retired,Low,Doctorate,Metro,4,74,Yes,Bike,7,13224,Comprehensive,Low,300000,30000,5,Zero Depreciation,Third-Party
45,Male,Single,Salaried,Medium,High School,Rural,2,42,No,Commercial,15,26538,Third-Party,Low,100000,5000,3,Engine Protection,Third-Party
20,Female,Single,Retired,Medium,Postgraduate,Urban,3,60,Yes,Bike,12,16472,Third-Party,Low,200000,30000,1,NCB Protection,Third-Party
58,Female,Married,Salaried,High,Postgraduate,Urban,3,59,No,Bike,18,48382,Own Damage,Low,200000,15000,1,None,Third-Party
62,Female,Married,Retired,High,Doctorate,Urban,4,89,No,Commercial,2,25042,Third-Party,Low,1000000,10000,1,Zero Depreciation,Comprehensive
41,Female,Single,Salaried,Low,High School,Metro,2,82,Yes,Car,14,5848,Third-Party,Medium,500000,15000,5,Roadside Assistance,Third-Party
54,Male,Single,Student,Low,Graduate,Metro,4,73,Yes,SUV,11,45679,Third-Party,Low,1000000,10000,1,Engine Protection,Third-Party
30,Female,Single,Retired,Medium,Graduate,Urban,3,42,No,Commercial,14,24931,Own Damage,Low,500000,15000,1,Roadside Assistance,Third-Party
32,Male,Married,Retired,High,Doctorate,Rural,5,84,No,SUV,8,23646,Own Damage,Low,500000,30000,3,Engine Protection,Own Damage + Add-ons
26,Female,Single,Salaried,High,Postgraduate,Metro,5,84,No,Commercial,8,43802,Own Damage,High,200000,10000,1,Roadside Assistance,Own Damage + Add-ons
56,Female,Single,Retired,Low,Postgraduate,Urban,4,79,No,SUV,13,45577,Own Damage,High,200000,5000,5,None,Third-Party
52,Female,Single,Student,Medium,Doctorate,Urban,3,76,No,SUV,1,17821,Own Damage,Low,500000,30000,5,NCB Protection,Own Damage + Add-ons
62,Male,Married,Retired,High,Doctorate,Rural,5,92,Yes,Commercial,15,30780,Comprehensive,Medium,200000,10000,1,Zero Depreciation,Third-Party
35,Female,Married,Student,High,Doctorate,Metro,5,44,Yes,Bike,10,17882,Own Damage,Low,200000,20000,3,NCB Protection,Third-Party
60,Male,Single,Self-Employed,Medium,High School,Metro,4,89,No,SUV,16,49733,Third-Party,High,200000,25000,1,Engine Protection,Third-Party
20,Female,Single,Self-Employed,Low,High School,Urban,4,50,No,SUV,11,36348,Third-Party,High,500000,20000,3,Roadside Assistance,Third-Party
45,Female,Married,Self-Employed,Low,Graduate,Urban,3,93,Yes,SUV,1,47381,Third-Party,Medium,500000,10000,1,NCB Protection,Comprehensive
33,Female,Single,Student,Medium,Doctorate,Metro,1,87,Yes,SUV,7,12889,Own Damage,Low,300000,10000,5,Zero Depreciation,Own Damage + Add-ons
59,Female,Single,Student,Medium,Doctorate,Urban,5,56,Yes,Commercial,15,15530,Third-Party,High,200000,10000,5,Zero Depreciation,Third-Party
58,Male,Married,Salaried,Medium,Postgraduate,Rural,1,43,No,Bike,2,28868,Own Damage,High,500000,25000,1,NCB Protection,Third-Party
